Temperatura de Melting,Conteúdo CG(%)
81.876,43.05
80.791,39.92
79.957,37.41
77.687,32.12
74.741,30.26
78.739,36.60
73.817,26.59
76.587,30.18
79.729,39.37
78.377,33.48
79.997,43.08
76.202,28.21
77.101,32.45
77.573,33.55
76.177,29.47
76.569,29.75
80.570,40.09
76.092,31.13
76.780,34.19
76.193,31.65
76.644,32.41
76.393,29.92
77.502,34.18
77.400,32.77
78.036,32.96
78.555,35.14
78.557,34.74
78.523,34.31
76.332,37.12
78.303,33.65
79.100,36.10
77.729,34.00
77.561,32.73
78.999,37.06
78.589,34.22
78.686,34.90
78.162,33.53
74.837,29.73
76.709,34.22
78.315,38.97
78.362,34.74
76.977,30.38
78.983,35.49
78.412,33.60
79.439,36.55
75.760,31.98
75.284,27.88
76.847,30.89
79.880,40.52
76.568,29.31
77.322,30.85
79.348,37.88
78.662,35.13
77.383,31.16
76.423,30.54
78.058,33.58
78.890,34.52
77.969,36.11
76.759,32.05
78.009,32.58
77.665,34.86
77.860,32.91
74.468,28.83
78.911,35.68
79.962,37.26
76.142,32.50
77.275,31.24
77.593,31.92
77.897,32.30
77.731,31.98
75.858,30.36
76.947,31.22
78.327,36.00
77.084,30.65
76.176,33.85
76.163,29.92
78.045,33.15
78.452,34.61
79.721,37.34
79.863,38.11
75.452,30.11
78.321,33.91
78.014,33.60
76.321,31.01
77.031,32.24
78.859,36.33
78.559,34.53
76.936,31.54
77.221,33.08
79.287,35.41
77.280,32.56
78.553,35.44
78.432,34.26
77.430,31.07
80.151,39.10
77.213,31.32
78.084,34.92
78.240,33.02
75.945,29.71
76.570,30.20
79.054,36.38
78.581,33.88
77.620,31.66
78.888,36.63
78.020,33.33
76.064,29.13
76.745,30.52
78.498,33.81
78.368,34.26
78.735,34.48
77.644,33.77
76.247,29.48
76.079,32.48
79.622,36.54
81.804,42.67
78.297,35.19
77.314,31.37
77.525,31.36
78.044,33.45
76.375,32.01
78.748,34.23
78.387,34.17
79.769,38.39
76.797,34.74
78.988,38.83
76.237,31.93
78.198,33.51
77.420,32.52
78.644,34.35
79.409,40.60
76.423,31.61
77.408,31.46
78.480,35.28
77.346,31.42
79.280,35.42
79.071,39.91
79.818,36.97
77.880,32.44
79.035,38.14
77.712,34.01
77.397,31.81
75.904,32.05
74.534,26.34
76.696,30.12
80.204,39.56
77.661,33.53
77.085,32.02
77.720,33.18
78.100,33.71
77.525,32.25
77.385,32.28
79.567,38.81
75.171,27.10
75.069,30.22
80.253,38.62
76.485,31.48
78.102,33.89
73.873,26.67
78.820,35.93
78.217,33.21
78.273,33.83
75.064,30.52
78.645,34.82
78.467,34.44
80.649,39.22
76.033,27.88
79.074,35.85
77.625,33.33
75.565,28.23
79.169,36.32
78.801,35.74
77.591,32.39
79.312,36.33
81.556,43.33
78.559,34.56
73.862,27.00
78.869,35.22
77.272,30.69
75.642,31.92
77.758,32.50
79.554,37.87
79.169,35.02
77.567,36.62
78.026,35.85
81.567,43.29
73.544,26.58
76.235,29.94
77.687,32.12
79.957,37.41
80.791,39.92
81.876,43.05
